"","complnum","crimesuccess","HOUSING_PSA","JURISDICTION_CODE","jurisdic","code1","crimelevel","loc_desc","offense_desc1","park","PATROL_BORO","code2","offense_desc2","premise_type","date","STATION_NAME","SUSP_AGE_GROUP","SUSP_RACE","SUSP_SEX","TRANSIT_DISTRICT","VIC_AGE_GROUP","VIC_RACE","VIC_SEX","Latitude","Longitude","Lat_Lon","compl_year","compl_month","compl_day"
"478",246083641,"COMPLETED",NA,0,"N.Y. POLICE DEPT",341,"MISDEMEANOR","INSIDE","PETIT LARCENY",NA,"PATROL BORO MAN NORTH",333,"LARCENY,PETIT FROM STORE-SHOPL","CHAIN STORE","05/06/2018",NA,"UNKNOWN","BLACK HISPANIC","M",NA,"UNKNOWN","UNKNOWN","D",40.778219811,-73.951495451,"(40.778219811, -73.951495451)","2018","06","05"
"479",752975649,"COMPLETED",NA,0,"N.Y. POLICE DEPT",341,"MISDEMEANOR","INSIDE","PETIT LARCENY",NA,"PATROL BORO MAN NORTH",333,"LARCENY,PETIT FROM STORE-SHOPL","DRUG STORE","05/06/2018",NA,"UNKNOWN","BLACK HISPANIC","M",NA,"UNKNOWN","UNKNOWN","D",40.773686849,-73.954805919,"(40.773686849, -73.954805919)","2018","06","05"
"480",901294401,"COMPLETED",670,2,"N.Y. HOUSING POLICE",359,"MISDEMEANOR","INSIDE","OFFENSES AGAINST PUBLIC ADMINI",NA,"PATROL BORO MAN NORTH",749,"VIOLATION OF ORDER OF PROTECTI","RESIDENCE - PUBLIC HOUSING","05/06/2018",NA,"25-44","BLACK","M",NA,"45-64","WHITE","F",40.799232486,-73.933056198,"(40.799232486, -73.933056198)","2018","06","05"
"481",896874511,"COMPLETED",NA,0,"N.Y. POLICE DEPT",341,"MISDEMEANOR","INSIDE","PETIT LARCENY",NA,"PATROL BORO MAN SOUTH",333,"LARCENY,PETIT FROM STORE-SHOPL","CHAIN STORE","05/06/2018",NA,"UNKNOWN","BLACK","M",NA,"UNKNOWN","UNKNOWN","D",40.712803176,-74.007446595,"(40.712803176, -74.007446595)","2018","06","05"
"482",509946655,"COMPLETED",NA,0,"N.Y. POLICE DEPT",105,"FELONY",NA,"ROBBERY",NA,"PATROL BORO MAN SOUTH",397,"ROBBERY,OPEN AREA UNCLASSIFIED","STREET","05/06/2018",NA,"UNKNOWN","BLACK","M",NA,"45-64","BLACK","M",40.758337438,-73.968937134,"(40.758337438, -73.968937134)","2018","06","05"
"483",657678080,"COMPLETED",NA,0,"N.Y. POLICE DEPT",341,"MISDEMEANOR","FRONT OF","PETIT LARCENY",NA,"PATROL BORO MAN SOUTH",333,"LARCENY,PETIT FROM STORE-SHOPL","CHAIN STORE","05/06/2018",NA,"25-44","WHITE","M",NA,"UNKNOWN","UNKNOWN","D",40.733989763,-73.989887404,"(40.733989763, -73.989887404)","2018","06","05"
"484",306727444,"COMPLETED",45386,2,"N.Y. HOUSING POLICE",361,"MISDEMEANOR","INSIDE","OFF. AGNST PUB ORD SENSBLTY &",NA,"PATROL BORO MAN NORTH",639,"AGGRAVATED HARASSMENT 2","RESIDENCE - PUBLIC HOUSING","05/06/2018",NA,"25-44","BLACK","M",NA,"18-24","BLACK","F",40.861631438,-73.921005324,"(40.861631438, -73.921005324)","2018","06","05"
"485",908066470,"COMPLETED",NA,0,"N.Y. POLICE DEPT",112,"FELONY","INSIDE","THEFT-FRAUD",NA,"PATROL BORO MAN SOUTH",739,"FRAUD,UNCLASSIFIED-FELONY","RESIDENCE - APT. HOUSE","05/06/2018",NA,NA,NA,NA,NA,"18-24","ASIAN/PAC.ISL","F",40.760585967,-73.9859271,"(40.760585967, -73.9859271)","2018","06","05"
"486",583134760,"ATTEMPTED",NA,0,"N.Y. POLICE DEPT",107,"FELONY","REAR OF","BURGLARY",NA,"PATROL BORO MAN SOUTH",221,"BURGLARY,RESIDENCE,DAY","RESIDENCE - APT. HOUSE","05/06/2018",NA,"25-44","WHITE HISPANIC","M",NA,"25-44","WHITE HISPANIC","F",40.724200154,-73.977225643,"(40.724200154, -73.977225643)","2018","06","05"
"487",722601451,"COMPLETED",NA,0,"N.Y. POLICE DEPT",106,"FELONY","INSIDE","FELONY ASSAULT",NA,"PATROL BORO MAN NORTH",109,"ASSAULT 2,1,UNCLASSIFIED","RESIDENCE - APT. HOUSE","05/06/2018",NA,"25-44","WHITE HISPANIC","F",NA,"25-44","BLACK HISPANIC","M",40.828361293,-73.947119195,"(40.828361293, -73.947119195)","2018","06","05"
