"","complnum","crimesuccess","HOUSING_PSA","JURISDICTION_CODE","jurisdic","code1","crimelevel","loc_desc","offense_desc1","park","PATROL_BORO","code2","offense_desc2","premise_type","date","STATION_NAME","SUSP_AGE_GROUP","SUSP_RACE","SUSP_SEX","TRANSIT_DISTRICT","VIC_AGE_GROUP","VIC_RACE","VIC_SEX","Latitude","Longitude","Lat_Lon","compl_year","compl_month","compl_day"
"1",272753715,"COMPLETED",NA,0,"N.Y. POLICE DEPT",351,"MISDEMEANOR","FRONT OF","CRIMINAL MISCHIEF & RELATED OF",NA,"PATROL BORO MAN NORTH",258,"CRIMINAL MISCHIEF 4TH, GRAFFIT","DEPARTMENT STORE","06/29/2018",NA,"UNKNOWN","UNKNOWN","U",NA,"UNKNOWN","UNKNOWN","D",40.828097057,-73.945522284,"(40.828097057, -73.945522284)","2018","06","06"
"2",533331288,"COMPLETED",NA,0,"N.Y. POLICE DEPT",351,"MISDEMEANOR","FRONT OF","CRIMINAL MISCHIEF & RELATED OF",NA,"PATROL BORO MAN NORTH",258,"CRIMINAL MISCHIEF 4TH, GRAFFIT","RESTAURANT/DINER","06/29/2018",NA,NA,NA,NA,NA,"UNKNOWN","UNKNOWN","D",40.821752222,-73.954003697,"(40.821752222, -73.954003697)","2018","06","06"
"3",499204377,"COMPLETED",NA,0,"N.Y. POLICE DEPT",109,"FELONY","INSIDE","GRAND LARCENY",NA,"PATROL BORO MAN SOUTH",403,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK","SMALL MERCHANT","06/29/2018",NA,NA,NA,NA,NA,"UNKNOWN","UNKNOWN","D",40.750411107,-73.985236286,"(40.750411107, -73.985236286)","2018","06","06"
"4",790158915,"COMPLETED",NA,0,"N.Y. POLICE DEPT",109,"FELONY","INSIDE","GRAND LARCENY",NA,"PATROL BORO MAN SOUTH",425,"LARCENY,GRAND BY BANK ACCT COMPROMISE-ATM TRANSACTION","BANK","06/28/2018",NA,"UNKNOWN","UNKNOWN","U",NA,"25-44","BLACK","M",40.750167103,-73.971958209,"(40.750167103, -73.971958209)","2018","06","06"
"5",453803760,"COMPLETED",NA,0,"N.Y. POLICE DEPT",109,"FELONY","INSIDE","GRAND LARCENY",NA,"PATROL BORO MAN NORTH",432,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED","RESIDENCE-HOUSE","06/27/2018",NA,"UNKNOWN","UNKNOWN","U",NA,"65+","WHITE","M",40.871322452,-73.916380119,"(40.871322452, -73.916380119)","2018","06","06"
"6",577784159,"COMPLETED",NA,0,"N.Y. POLICE DEPT",109,"FELONY","INSIDE","GRAND LARCENY",NA,"PATROL BORO MAN SOUTH",438,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",NA,"06/26/2018",NA,"45-64","WHITE","M",NA,"UNKNOWN","UNKNOWN","D",40.709141698,-74.006858254,"(40.709141698, -74.006858254)","2018","06","04"
"7",879150991,"COMPLETED",NA,0,"N.Y. POLICE DEPT",341,"MISDEMEANOR","INSIDE","PETIT LARCENY",NA,"PATROL BORO MAN NORTH",313,"LARCENY,PETIT BY FALSE PROMISE","RESIDENCE - APT. HOUSE","06/24/2018",NA,NA,NA,NA,NA,"65+","WHITE","F",40.782014587,-73.948737573,"(40.782014587, -73.948737573)","2018","06","06"
"8",309206736,"COMPLETED",NA,0,"N.Y. POLICE DEPT",341,"MISDEMEANOR","INSIDE","PETIT LARCENY",NA,"PATROL BORO MAN SOUTH",349,"LARCENY,PETIT OF LICENSE PLATE","COMMERCIAL BUILDING","06/20/2018",NA,NA,NA,NA,NA,"65+","WHITE","M",40.768077019,-73.993037491,"(40.768077019, -73.993037491)","2018","06","06"
"9",176637513,"COMPLETED",NA,0,"N.Y. POLICE DEPT",578,"VIOLATION","INSIDE","HARRASSMENT 2",NA,"PATROL BORO MAN NORTH",637,"HARASSMENT,SUBD 1,CIVILIAN","RESIDENCE - APT. HOUSE","06/19/2018",NA,"45-64","BLACK","M",NA,"25-44","BLACK","F",40.786123314,-73.942613564,"(40.786123314, -73.942613564)","2018","06","06"
"10",286705330,"COMPLETED",NA,0,"N.Y. POLICE DEPT",341,"MISDEMEANOR","OPPOSITE OF","PETIT LARCENY",NA,"PATROL BORO MAN SOUTH",343,"LARCENY,PETIT OF BICYCLE","STREET","06/18/2018",NA,NA,NA,NA,NA,"25-44","ASIAN/PAC.ISL","F",40.714666833,-73.992015003,"(40.714666833, -73.992015003)","2018","06","06"
"11",914146923,"COMPLETED",NA,1,"N.Y. TRANSIT POLICE",578,"VIOLATION",NA,"HARRASSMENT 2",NA,"PATROL BORO MAN SOUTH",637,"HARASSMENT,SUBD 1,CIVILIAN","TRANSIT - NYC SUBWAY","06/18/2018","42 ST.-PORT AUTHORITY BUS TERM","45-64","WHITE","U",1,"25-44","WHITE","F",40.757240531,-73.989793637,"(40.757240531, -73.989793637)","2018","06","06"
"12",798526681,"COMPLETED",NA,0,"N.Y. POLICE DEPT",112,"FELONY","INSIDE","THEFT-FRAUD",NA,"PATROL BORO MAN NORTH",739,"FRAUD,UNCLASSIFIED-FELONY","RESIDENCE - APT. HOUSE","06/15/2018",NA,"UNKNOWN","UNKNOWN","U",NA,"65+","WHITE","M",40.815359008,-73.959275438,"(40.815359008, -73.959275438)","2018","06","06"
"13",877054673,"COMPLETED",NA,0,"N.Y. POLICE DEPT",126,"FELONY","FRONT OF","MISCELLANEOUS PENAL LAW",NA,"PATROL BORO MAN SOUTH",198,"CRIMINAL CONTEMPT 1","STREET","06/14/2018",NA,"45-64","WHITE HISPANIC","M",NA,"25-44","WHITE","F",40.735999287,-73.99573271,"(40.735999287, -73.99573271)","2018","06","06"
"14",713851625,"COMPLETED",NA,0,"N.Y. POLICE DEPT",125,"FELONY","INSIDE","NYS LAWS-UNCLASSIFIED FELONY",NA,"PATROL BORO MAN SOUTH",847,"NY STATE LAWS,UNCLASSIFIED FEL","PUBLIC BUILDING","06/13/2018",NA,"45-64","WHITE HISPANIC","M",NA,"UNKNOWN","UNKNOWN","E",40.716344152,-74.001253193,"(40.716344152, -74.001253193)","2018","06","06"
"15",722298773,"COMPLETED",NA,0,"N.Y. POLICE DEPT",341,"MISDEMEANOR",NA,"PETIT LARCENY",NA,"PATROL BORO MAN SOUTH",301,"LARCENY,PETIT BY ACQUIRING LOS","TAXI (YELLOW LICENSED)","06/13/2018",NA,NA,NA,NA,NA,"25-44","WHITE","M",40.755382106,-73.987447778,"(40.755382106, -73.987447778)","2018","06","06"
"16",887655951,"COMPLETED",NA,0,"N.Y. POLICE DEPT",341,"MISDEMEANOR","INSIDE","PETIT LARCENY",NA,"PATROL BORO MAN SOUTH",338,"LARCENY,PETIT FROM BUILDING,UN","COMMERCIAL BUILDING","06/13/2018",NA,NA,NA,NA,NA,"18-24","BLACK","F",40.75572676,-73.979254216,"(40.75572676, -73.979254216)","2018","06","02"
"17",239856287,"COMPLETED",NA,97,"OTHER",341,"MISDEMEANOR","INSIDE","PETIT LARCENY",NA,"PATROL BORO MAN SOUTH",338,"LARCENY,PETIT FROM BUILDING,UN","RESIDENCE - APT. HOUSE","06/12/2018",NA,NA,NA,NA,NA,"25-44","WHITE","M",40.740824511,-73.974260858,"(40.740824511, -73.974260858)","2018","06","06"
"18",497782831,"COMPLETED",NA,0,"N.Y. POLICE DEPT",344,"MISDEMEANOR","INSIDE","ASSAULT 3 & RELATED OFFENSES",NA,"PATROL BORO MAN NORTH",101,"ASSAULT 3","DRUG STORE","06/12/2018",NA,"45-64","BLACK","F",NA,"45-64","WHITE","F",40.777194771,-73.955179044,"(40.777194771, -73.955179044)","2018","06","06"
"19",854350916,"COMPLETED",NA,0,"N.Y. POLICE DEPT",112,"FELONY","INSIDE","THEFT-FRAUD",NA,"PATROL BORO MAN SOUTH",739,"FRAUD,UNCLASSIFIED-FELONY","RESIDENCE - APT. HOUSE","06/12/2018",NA,NA,NA,NA,NA,"45-64","WHITE","F",40.743968009,-73.977911783,"(40.743968009, -73.977911783)","2018","06","06"
"20",611049532,"COMPLETED",NA,0,"N.Y. POLICE DEPT",340,"MISDEMEANOR","FRONT OF","FRAUDS",NA,"PATROL BORO MAN NORTH",707,"IMPERSONATION 2, PUBLIC SERVAN","GROCERY/BODEGA","06/12/2018",NA,"UNKNOWN","BLACK","U",NA,"UNKNOWN","UNKNOWN","E",40.799184226,-73.951844971,"(40.799184226, -73.951844971)","2018","06","06"
"21",205575597,"COMPLETED",NA,0,"N.Y. POLICE DEPT",109,"FELONY","INSIDE","GRAND LARCENY",NA,"PATROL BORO MAN SOUTH",412,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED","RESIDENCE - APT. HOUSE","06/12/2018",NA,"25-44","BLACK","M",NA,"65+","WHITE HISPANIC","F",40.747149095,-73.977502911,"(40.747149095, -73.977502911)","2018","06","06"
"22",564396237,"COMPLETED",NA,0,"N.Y. POLICE DEPT",578,"VIOLATION","INSIDE","HARRASSMENT 2",NA,"PATROL BORO MAN NORTH",638,"HARASSMENT,SUBD 3,4,5","RESIDENCE - APT. HOUSE","06/12/2018",NA,"45-64","UNKNOWN","F",NA,"18-24","BLACK","F",40.813028822,-73.935415785,"(40.813028822, -73.935415785)","2018","06","05"
"23",684687352,"COMPLETED",NA,0,"N.Y. POLICE DEPT",341,"MISDEMEANOR","FRONT OF","PETIT LARCENY",NA,"PATROL BORO MAN SOUTH",343,"LARCENY,PETIT OF BICYCLE","STREET","06/11/2018",NA,NA,NA,NA,NA,"25-44","WHITE HISPANIC","M",40.753063427,-73.996547324,"(40.753063427, -73.996547324)","2018","06","06"
"24",514603816,"COMPLETED",NA,0,"N.Y. POLICE DEPT",341,"MISDEMEANOR","INSIDE","PETIT LARCENY",NA,"PATROL BORO MAN NORTH",338,"LARCENY,PETIT FROM BUILDING,UN","PUBLIC SCHOOL","06/11/2018",NA,NA,NA,NA,NA,"UNKNOWN","UNKNOWN","D",40.806161657,-73.935657241,"(40.806161657, -73.935657241)","2018","06","06"
"25",293173453,"COMPLETED",NA,0,"N.Y. POLICE DEPT",109,"FELONY","INSIDE","GRAND LARCENY",NA,"PATROL BORO MAN NORTH",420,"LARCENY,GRAND BY OPEN/COMPROMISE CELL PHONE ACCT","RESIDENCE - APT. HOUSE","06/11/2018",NA,"UNKNOWN","UNKNOWN","U",NA,"25-44","WHITE","F",40.766376284,-73.958594209,"(40.766376284, -73.958594209)","2018","06","05"
"26",769210249,"COMPLETED",NA,97,"OTHER",361,"MISDEMEANOR","INSIDE","OFF. AGNST PUB ORD SENSBLTY &",NA,"PATROL BORO MAN SOUTH",649,"FALSE REPORT UNCLASSIFIED","RESIDENCE - APT. HOUSE","06/11/2018",NA,"UNKNOWN","UNKNOWN","U",NA,"UNKNOWN","UNKNOWN","E",40.733604533,-73.981988957,"(40.733604533, -73.981988957)","2018","06","02"
"27",253448931,"COMPLETED",NA,0,"N.Y. POLICE DEPT",351,"MISDEMEANOR",NA,"CRIMINAL MISCHIEF & RELATED OF",NA,"PATROL BORO MAN NORTH",254,"MISCHIEF, CRIMINAL 4, OF MOTOR","STREET","06/10/2018",NA,"UNKNOWN","UNKNOWN","U",NA,"25-44","ASIAN/PAC.ISL","F",40.834897272,-73.937754347,"(40.834897272, -73.937754347)","2018","06","06"
"28",629919557,"COMPLETED",NA,0,"N.Y. POLICE DEPT",126,"FELONY","FRONT OF","MISCELLANEOUS PENAL LAW",NA,"PATROL BORO MAN NORTH",117,"RECKLESS ENDANGERMENT 1","STREET","06/09/2018",NA,"18-24","BLACK","M",NA,"UNKNOWN","UNKNOWN","E",40.800440927,-73.950933864,"(40.800440927, -73.950933864)","2018","06","06"
"29",189870056,"COMPLETED",NA,0,"N.Y. POLICE DEPT",341,"MISDEMEANOR","INSIDE","PETIT LARCENY",NA,"PATROL BORO MAN NORTH",333,"LARCENY,PETIT FROM STORE-SHOPL","CLOTHING/BOUTIQUE","06/09/2018",NA,"18-24","BLACK","M",NA,"UNKNOWN","UNKNOWN","D",40.770169375,-73.966617444,"(40.770169375, -73.966617444)","2018","06","06"
"30",541968984,"COMPLETED",NA,0,"N.Y. POLICE DEPT",109,"FELONY","INSIDE","GRAND LARCENY",NA,"PATROL BORO MAN SOUTH",426,"LARCENY,GRAND BY BANK ACCT COMPROMISE-TELLER","RESIDENCE - APT. HOUSE","06/09/2018",NA,NA,NA,NA,NA,"65+","UNKNOWN","F",40.749456053,-73.971308865,"(40.749456053, -73.971308865)","2018","06","06"
"31",523607714,"COMPLETED",NA,0,"N.Y. POLICE DEPT",341,"MISDEMEANOR","INSIDE","PETIT LARCENY",NA,"PATROL BORO MAN SOUTH",333,"LARCENY,PETIT FROM STORE-SHOPL","CHAIN STORE","06/08/2018",NA,"UNKNOWN","UNKNOWN","U",NA,"UNKNOWN","UNKNOWN","D",40.712803176,-74.007446595,"(40.712803176, -74.007446595)","2018","06","06"
"32",457797655,"COMPLETED",NA,0,"N.Y. POLICE DEPT",107,"FELONY","INSIDE","BURGLARY",NA,"PATROL BORO MAN NORTH",223,"BURGLARY,RESIDENCE,NIGHT","RESIDENCE - APT. HOUSE","06/08/2018",NA,"UNKNOWN","UNKNOWN","F",NA,"25-44","WHITE","M",40.812861741,-73.960512465,"(40.812861741, -73.960512465)","2018","06","06"
"33",810437422,"COMPLETED",NA,0,"N.Y. POLICE DEPT",341,"MISDEMEANOR",NA,"PETIT LARCENY",NA,"PATROL BORO MAN SOUTH",349,"LARCENY,PETIT OF LICENSE PLATE","STREET","06/08/2018",NA,NA,NA,NA,NA,"25-44","WHITE HISPANIC","F",40.749061558,-73.995749919,"(40.749061558, -73.995749919)","2018","06","06"
"34",359445905,"COMPLETED",NA,0,"N.Y. POLICE DEPT",341,"MISDEMEANOR","INSIDE","PETIT LARCENY",NA,"PATROL BORO MAN SOUTH",333,"LARCENY,PETIT FROM STORE-SHOPL","CHAIN STORE","06/08/2018",NA,"UNKNOWN","WHITE","U",NA,"UNKNOWN","UNKNOWN","D",40.712803176,-74.007446595,"(40.712803176, -74.007446595)","2018","06","06"
"35",860133692,"COMPLETED",NA,0,"N.Y. POLICE DEPT",341,"MISDEMEANOR","INSIDE","PETIT LARCENY",NA,"PATROL BORO MAN NORTH",338,"LARCENY,PETIT FROM BUILDING,UN","RESIDENCE - APT. HOUSE","06/08/2018",NA,NA,NA,NA,NA,"25-44","WHITE","F",40.802164993,-73.9589187,"(40.802164993, -73.9589187)","2018","06","06"
"36",286982704,"COMPLETED",NA,0,"N.Y. POLICE DEPT",341,"MISDEMEANOR","INSIDE","PETIT LARCENY",NA,"PATROL BORO MAN NORTH",338,"LARCENY,PETIT FROM BUILDING,UN","RESIDENCE - APT. HOUSE","06/08/2018",NA,NA,NA,NA,NA,"25-44","WHITE","M",40.802164993,-73.9589187,"(40.802164993, -73.9589187)","2018","06","06"
"37",105016873,"COMPLETED",NA,0,"N.Y. POLICE DEPT",341,"MISDEMEANOR","INSIDE","PETIT LARCENY",NA,"PATROL BORO MAN SOUTH",338,"LARCENY,PETIT FROM BUILDING,UN","COMMERCIAL BUILDING","06/08/2018",NA,"UNKNOWN","UNKNOWN","U",NA,"25-44","ASIAN/PAC.ISL","F",40.756644557,-73.986285275,"(40.756644557, -73.986285275)","2018","06","06"
"38",422861141,"COMPLETED",NA,97,"OTHER",344,"MISDEMEANOR","INSIDE","ASSAULT 3 & RELATED OFFENSES",NA,"PATROL BORO MAN NORTH",101,"ASSAULT 3","HOSPITAL","06/08/2018",NA,"25-44","BLACK","M",NA,"UNKNOWN","BLACK","M",40.787874599,-73.928181646,"(40.787874599, -73.928181646)","2018","06","06"
"39",311912070,"COMPLETED",NA,0,"N.Y. POLICE DEPT",109,"FELONY","INSIDE","GRAND LARCENY",NA,"PATROL BORO MAN NORTH",424,"LARCENY,GRAND BY CREDIT CARD ACCT COMPROMISE-EXISTING ACCT","RESIDENCE - APT. HOUSE","06/08/2018",NA,NA,NA,NA,NA,"25-44","ASIAN/PAC.ISL","F",40.778496137,-73.974300459,"(40.778496137, -73.974300459)","2018","06","06"
"40",836189620,"COMPLETED",NA,0,"N.Y. POLICE DEPT",109,"FELONY","INSIDE","GRAND LARCENY",NA,"PATROL BORO MAN SOUTH",438,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED","COMMERCIAL BUILDING","06/08/2018",NA,NA,NA,NA,NA,"UNKNOWN","UNKNOWN","D",40.747266257,-73.9914914,"(40.747266257, -73.9914914)","2018","06","06"
"41",540867138,"COMPLETED",NA,0,"N.Y. POLICE DEPT",344,"MISDEMEANOR","FRONT OF","ASSAULT 3 & RELATED OFFENSES",NA,"PATROL BORO MAN SOUTH",101,"ASSAULT 3","HOTEL/MOTEL","06/08/2018",NA,"25-44","BLACK","M",NA,"25-44","BLACK","M",40.740626761,-74.007713137,"(40.740626761, -74.007713137)","2018","06","06"
"42",829321257,"COMPLETED",NA,0,"N.Y. POLICE DEPT",361,"MISDEMEANOR","INSIDE","OFF. AGNST PUB ORD SENSBLTY &",NA,"PATROL BORO MAN NORTH",639,"AGGRAVATED HARASSMENT 2","RESIDENCE - APT. HOUSE","06/08/2018",NA,"<18","UNKNOWN","F",NA,"25-44","BLACK HISPANIC","M",40.821805172,-73.943457155,"(40.821805172, -73.943457155)","2018","06","06"
"43",216978853,"COMPLETED",30581,2,"N.Y. HOUSING POLICE",344,"MISDEMEANOR","OPPOSITE OF","ASSAULT 3 & RELATED OFFENSES",NA,"PATROL BORO MAN NORTH",101,"ASSAULT 3","RESIDENCE - PUBLIC HOUSING","06/07/2018",NA,"18-24","BLACK","M",NA,"<18","BLACK","F",40.786944463,-73.943573426,"(40.786944463, -73.943573426)","2018","06","06"
"44",553478309,"COMPLETED",NA,1,"N.Y. TRANSIT POLICE",236,"MISDEMEANOR",NA,"DANGEROUS WEAPONS",NA,"PATROL BORO MAN NORTH",782,"WEAPONS, POSSESSION, ETC","TRANSIT - NYC SUBWAY","06/07/2018","200 ST.-DYCKMAN ST.","25-44","BLACK HISPANIC","M",3,"UNKNOWN","UNKNOWN","E",40.861559813,-73.924718235,"(40.861559813, -73.924718235)","2018","06","06"
"45",228995664,"COMPLETED",NA,0,"N.Y. POLICE DEPT",578,"VIOLATION","FRONT OF","HARRASSMENT 2",NA,"PATROL BORO MAN SOUTH",637,"HARASSMENT,SUBD 1,CIVILIAN","STREET","06/07/2018",NA,"45-64","WHITE","M",NA,"25-44","WHITE","F",40.736425335,-73.977423537,"(40.736425335, -73.977423537)","2018","06","06"
"46",331706654,"COMPLETED",NA,0,"N.Y. POLICE DEPT",351,"MISDEMEANOR",NA,"CRIMINAL MISCHIEF & RELATED OF",NA,"PATROL BORO MAN NORTH",254,"MISCHIEF, CRIMINAL 4, OF MOTOR","STREET","06/07/2018",NA,NA,NA,NA,NA,"25-44","WHITE","M",40.802903945,-73.960698974,"(40.802903945, -73.960698974)","2018","06","06"
"47",375423084,"COMPLETED",NA,0,"N.Y. POLICE DEPT",107,"FELONY","INSIDE","BURGLARY",NA,"PATROL BORO MAN SOUTH",213,"BURGLARY,COMMERCIAL,NIGHT","RESTAURANT/DINER","06/07/2018",NA,NA,NA,NA,NA,"UNKNOWN","UNKNOWN","D",40.727698635,-73.988329723,"(40.727698635, -73.988329723)","2018","06","06"
"48",619196808,"COMPLETED",NA,0,"N.Y. POLICE DEPT",351,"MISDEMEANOR","INSIDE","CRIMINAL MISCHIEF & RELATED OF",NA,"PATROL BORO MAN SOUTH",259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4","BAR/NIGHT CLUB","06/07/2018",NA,NA,NA,NA,NA,"UNKNOWN","UNKNOWN","D",40.758228573,-73.989071565,"(40.758228573, -73.989071565)","2018","06","06"
"49",858283489,"COMPLETED",NA,0,"N.Y. POLICE DEPT",121,"FELONY","FRONT OF","CRIMINAL MISCHIEF & RELATED OF",NA,"PATROL BORO MAN NORTH",267,"MISCHIEF, CRIMINAL 3 & 2, OF M","STREET","06/07/2018",NA,NA,NA,NA,NA,"65+","WHITE","M",40.871868127,-73.915667125,"(40.871868127, -73.915667125)","2018","06","06"
"50",719295349,"COMPLETED",NA,1,"N.Y. TRANSIT POLICE",361,"MISDEMEANOR",NA,"OFF. AGNST PUB ORD SENSBLTY &",NA,"PATROL BORO MAN SOUTH",661,"LEWDNESS,PUBLIC","TRANSIT - NYC SUBWAY","06/07/2018","50 STREET","UNKNOWN","WHITE","M",1,"25-44","WHITE","F",40.76229871,-73.98610723,"(40.76229871, -73.98610723)","2018","06","06"
"51",542299981,"COMPLETED",NA,0,"N.Y. POLICE DEPT",351,"MISDEMEANOR",NA,"CRIMINAL MISCHIEF & RELATED OF",NA,"PATROL BORO MAN NORTH",254,"MISCHIEF, CRIMINAL 4, OF MOTOR","STREET","06/07/2018",NA,"UNKNOWN","UNKNOWN","U",NA,"25-44","WHITE","M",40.802979088,-73.96386307,"(40.802979088, -73.96386307)","2018","06","06"
"52",679720337,"COMPLETED",NA,0,"N.Y. POLICE DEPT",361,"MISDEMEANOR","INSIDE","OFF. AGNST PUB ORD SENSBLTY &",NA,"PATROL BORO MAN NORTH",639,"AGGRAVATED HARASSMENT 2","RESIDENCE - APT. HOUSE","06/07/2018",NA,"UNKNOWN","BLACK HISPANIC","M",NA,"25-44","WHITE HISPANIC","F",40.85342659,-73.927966276,"(40.85342659, -73.927966276)","2018","06","06"
"53",543242707,"COMPLETED",NA,0,"N.Y. POLICE DEPT",341,"MISDEMEANOR","FRONT OF","PETIT LARCENY",NA,"PATROL BORO MAN SOUTH",321,"LARCENY,PETIT FROM AUTO","STREET","06/07/2018",NA,NA,NA,NA,NA,"25-44","WHITE","F",40.725697698,-73.988239878,"(40.725697698, -73.988239878)","2018","06","06"
"54",102436864,"COMPLETED",609,2,"N.Y. HOUSING POLICE",109,"FELONY","FRONT OF","GRAND LARCENY",NA,"PATROL BORO MAN SOUTH",443,"LARCENY,GRAND OF BICYCLE","RESIDENCE - PUBLIC HOUSING","06/07/2018",NA,NA,NA,NA,NA,"25-44","BLACK","M",40.720505465,-73.976025587,"(40.720505465, -73.976025587)","2018","06","06"
"55",150483120,"COMPLETED",NA,0,"N.Y. POLICE DEPT",104,"FELONY","INSIDE","RAPE",NA,"PATROL BORO MAN NORTH",157,"RAPE 1","RESIDENCE - APT. HOUSE","06/07/2018",NA,"45-64","BLACK","M",NA,"45-64","BLACK","F",40.828851045,-73.943834191,"(40.828851045, -73.943834191)","2018","06","06"
"56",388779371,"COMPLETED",NA,0,"N.Y. POLICE DEPT",109,"FELONY","INSIDE","GRAND LARCENY",NA,"PATROL BORO MAN NORTH",409,"LARCENY,GRAND BY EXTORTION","RESIDENCE - APT. HOUSE","06/07/2018",NA,"UNKNOWN","UNKNOWN","U",NA,"65+","ASIAN/PAC.ISL","F",40.804454068,-73.967427424,"(40.804454068, -73.967427424)","2018","06","06"
"57",391957262,"COMPLETED",NA,0,"N.Y. POLICE DEPT",361,"MISDEMEANOR",NA,"OFF. AGNST PUB ORD SENSBLTY &",NA,"PATROL BORO MAN NORTH",639,"AGGRAVATED HARASSMENT 2","STREET","06/07/2018",NA,NA,NA,NA,NA,"18-24","BLACK","F",40.815644092,-73.958249252,"(40.815644092, -73.958249252)","2018","06","06"
"58",409042928,"COMPLETED",NA,0,"N.Y. POLICE DEPT",341,"MISDEMEANOR","INSIDE","PETIT LARCENY",NA,"PATROL BORO MAN SOUTH",343,"LARCENY,PETIT OF BICYCLE","STREET","06/07/2018",NA,NA,NA,NA,NA,"45-64","WHITE","M",40.721144602,-73.994283406,"(40.721144602, -73.994283406)","2018","06","06"
"59",880761612,"COMPLETED",NA,0,"N.Y. POLICE DEPT",341,"MISDEMEANOR","INSIDE","PETIT LARCENY",NA,"PATROL BORO MAN NORTH",339,"LARCENY,PETIT FROM OPEN AREAS,","COMMERCIAL BUILDING","06/07/2018",NA,"UNKNOWN","UNKNOWN","U",NA,"45-64","WHITE HISPANIC","F",40.850460156,-73.938469935,"(40.850460156, -73.938469935)","2018","06","06"
"60",360335194,"COMPLETED",NA,0,"N.Y. POLICE DEPT",109,"FELONY","FRONT OF","GRAND LARCENY",NA,"PATROL BORO MAN NORTH",404,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)","STREET","06/07/2018",NA,"<18","BLACK","M",NA,"<18","BLACK","M",40.826817435,-73.950303763,"(40.826817435, -73.950303763)","2018","06","06"
"61",235378011,"COMPLETED",NA,0,"N.Y. POLICE DEPT",578,"VIOLATION","INSIDE","HARRASSMENT 2",NA,"PATROL BORO MAN NORTH",638,"HARASSMENT,SUBD 3,4,5","RESIDENCE - APT. HOUSE","06/07/2018",NA,"UNKNOWN","WHITE HISPANIC","F",NA,"65+","WHITE HISPANIC","M",40.840795869,-73.938149992,"(40.840795869, -73.938149992)","2018","06","06"
"62",820662367,"COMPLETED",NA,0,"N.Y. POLICE DEPT",109,"FELONY","INSIDE","GRAND LARCENY",NA,"PATROL BORO MAN SOUTH",405,"LARCENY,GRAND BY THEFT OF CREDIT CARD","RESTAURANT/DINER","06/07/2018",NA,NA,NA,NA,NA,"45-64","WHITE","F",40.757379872,-73.984126607,"(40.757379872, -73.984126607)","2018","06","06"
"63",157975053,"COMPLETED",NA,0,"N.Y. POLICE DEPT",578,"VIOLATION",NA,"HARRASSMENT 2",NA,"PATROL BORO MAN SOUTH",638,"HARASSMENT,SUBD 3,4,5","STREET","06/07/2018",NA,"UNKNOWN","WHITE","M",NA,"45-64","WHITE","M",40.716030928,-73.991311412,"(40.716030928, -73.991311412)","2018","06","06"
"64",349453101,"COMPLETED",NA,0,"N.Y. POLICE DEPT",341,"MISDEMEANOR","INSIDE","PETIT LARCENY",NA,"PATROL BORO MAN NORTH",338,"LARCENY,PETIT FROM BUILDING,UN","CHAIN STORE","06/07/2018",NA,NA,NA,NA,NA,"25-44","WHITE","F",40.764683745,-73.961378537,"(40.764683745, -73.961378537)","2018","06","06"
"65",760036383,"COMPLETED",46921,2,"N.Y. HOUSING POLICE",578,"VIOLATION","FRONT OF","HARRASSMENT 2",NA,"PATROL BORO MAN NORTH",638,"HARASSMENT,SUBD 3,4,5","RESIDENCE - PUBLIC HOUSING","06/07/2018",NA,"UNKNOWN","WHITE","M",NA,"UNKNOWN","WHITE","F",40.767001921,-73.95813895,"(40.767001921, -73.95813895)","2018","06","06"
"66",357675691,"COMPLETED",NA,0,"N.Y. POLICE DEPT",361,"MISDEMEANOR","INSIDE","OFF. AGNST PUB ORD SENSBLTY &",NA,"PATROL BORO MAN SOUTH",639,"AGGRAVATED HARASSMENT 2","RESIDENCE - APT. HOUSE","06/07/2018",NA,NA,NA,NA,NA,"UNKNOWN","WHITE","M",40.712901917,-74.008460215,"(40.712901917, -74.008460215)","2018","06","06"
"67",947554078,"COMPLETED",NA,0,"N.Y. POLICE DEPT",341,"MISDEMEANOR","INSIDE","PETIT LARCENY",NA,"PATROL BORO MAN NORTH",333,"LARCENY,PETIT FROM STORE-SHOPL","CHAIN STORE","06/07/2018",NA,"25-44","BLACK","M",NA,"UNKNOWN","UNKNOWN","D",40.795040766,-73.971643157,"(40.795040766, -73.971643157)","2018","06","06"
"68",882814483,"COMPLETED",NA,0,"N.Y. POLICE DEPT",110,"FELONY","FRONT OF","GRAND LARCENY OF MOTOR VEHICLE",NA,"PATROL BORO MAN NORTH",451,"LARCENY,GRAND OF MOTORCYCLE","STREET","06/07/2018",NA,"UNKNOWN","UNKNOWN","M",NA,"45-64","WHITE","M",40.806298966,-73.952833181,"(40.806298966, -73.952833181)","2018","06","06"
