"","complnum","date","code1","offense_desc1","code2","offense_desc2","crimesuccess","crimelevel","jurisdic","loc_desc","premise_type","park","Latitude","Longitude","Lat_Lon","compl_year","compl_month","compl_day"
"2588",178828704,"04/13/2017",578,"HARRASSMENT 2",638,"HARASSMENT,SUBD 3,4,5","COMPLETED","VIOLATION","N.Y. HOUSING POLICE","INSIDE","RESIDENCE - PUBLIC HOUSING",NA,40.774773578,-73.986295984,"(40.774773578, -73.986295984)","2017","12","04"
"2589",718220086,"04/13/2017",351,"CRIMINAL MISCHIEF & RELATED OF",259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","FOOD SUPERMARKET",NA,40.786193349,-73.951688254,"(40.786193349, -73.951688254)","2017","12","04"
"2590",406818624,"04/13/2017",341,"PETIT LARCENY",333,"LARCENY,PETIT FROM STORE-SHOPL","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","DRUG STORE",NA,40.793217107,-73.967274016,"(40.793217107, -73.967274016)","2017","12","04"
"2591",586939497,"04/13/2017",109,"GRAND LARCENY",438,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED","COMPLETED","FELONY","N.Y. POLICE DEPT","INSIDE","CHAIN STORE",NA,40.775041983,-73.982068014,"(40.775041983, -73.982068014)","2017","12","04"
"2592",113099033,"04/13/2017",341,"PETIT LARCENY",321,"LARCENY,PETIT FROM AUTO","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","OPPOSITE OF","STREET",NA,40.797300086,-73.94892806,"(40.797300086, -73.94892806)","2017","12","04"
"2593",586089573,"04/13/2017",109,"GRAND LARCENY",438,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED","COMPLETED","FELONY","N.Y. POLICE DEPT","INSIDE","COMMERCIAL BUILDING",NA,40.752797126,-73.994883445,"(40.752797126, -73.994883445)","2017","12","04"
"2594",295973648,"04/13/2017",361,"OFF. AGNST PUB ORD SENSBLTY &",639,"AGGRAVATED HARASSMENT 2","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","RESIDENCE - APT. HOUSE",NA,40.734660767,-73.979058708,"(40.734660767, -73.979058708)","2017","12","04"
"2595",925815916,"04/13/2017",109,"GRAND LARCENY",411,"LARCENY,GRAND FROM EATERY, UNATTENDED","COMPLETED","FELONY","N.Y. POLICE DEPT","INSIDE","BAR/NIGHT CLUB",NA,40.726366811,-73.983315004,"(40.726366811, -73.983315004)","2017","12","04"
"2596",659794711,"04/13/2017",348,"VEHICLE AND TRAFFIC LAWS",916,"LEAVING SCENE-ACCIDENT-PERSONA","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","FRONT OF","STREET",NA,40.782556153,-73.976905979,"(40.782556153, -73.976905979)","2017","12","04"
"2597",881578850,"04/13/2017",361,"OFF. AGNST PUB ORD SENSBLTY &",639,"AGGRAVATED HARASSMENT 2","COMPLETED","MISDEMEANOR","N.Y. POLICE DEPT","INSIDE","RESIDENCE - APT. HOUSE",NA,40.801282804,-73.955856318,"(40.801282804, -73.955856318)","2017","12","04"
